mouse_num,dob,injection_date,death_date,tumor_noticed,behavior_noticed,strain,virus,src,age_death_capped,genes_ko
22926,2020-03-03,2020-03-05,2020-05-24,2020-05-24,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,80,nf1 KO;pten KO;ink KO;atrx KO
23021,2020-03-03,2020-03-05,2020-06-06,2020-05-24,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,93,nf1 KO;pten KO;ink KO;atrx KO
23269,2020-04-01,2020-04-05,2020-09-02,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,300,nf1 KO;pten KO;ink KO;atrx KO
23270,2020-04-01,2020-04-05,2020-07-01,NA,2020-06-29,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,87,nf1 KO;pten KO;ink KO;atrx KO
23271,2020-04-01,2020-04-05,2020-07-21,NA,2020-07-21,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,107,nf1 KO;pten KO;ink KO;atrx KO
23286,2020-04-03,2020-04-05,2020-07-13,NA,2020-06-16,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,99,nf1 KO;pten KO;ink KO;atrx KO
23287,2020-04-03,2020-04-05,2020-07-01,NA,2020-06-17,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,87,nf1 KO;pten KO;ink KO;atrx KO
23288,2020-04-03,2020-04-05,2020-06-15,2020-06-04,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,71,nf1 KO;pten KO;ink KO;atrx KO
23289,2020-04-03,2020-04-05,2020-06-19,NA,2020-06-19,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,75,nf1 KO;pten KO;ink KO;atrx KO
23290,2020-04-03,2020-04-05,2020-07-13,NA,2020-07-13,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,99,nf1 KO;pten KO;ink KO;atrx KO
23291,2020-04-03,2020-04-05,2020-06-29,2020-06-11,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,85,nf1 KO;pten KO;ink KO;atrx KO
23292,2020-04-03,2020-04-05,2020-08-26,NA,2020-08-25,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,143,nf1 KO;pten KO;ink KO;atrx KO
23293,2020-04-03,2020-04-05,2020-06-26,NA,2020-06-16,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,82,nf1 KO;pten KO;ink KO;atrx KO
23294,2020-04-03,2020-04-05,2020-07-21,2020-06-16,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,107,nf1 KO;pten KO;ink KO;atrx KO
23295,2020-04-03,2020-04-05,2020-07-27,2020-06-16,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,113,nf1 KO;pten KO;ink KO;atrx KO
23296,2020-04-03,2020-04-05,2020-06-26,NA,2020-06-17,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,82,nf1 KO;pten KO;ink KO;atrx KO
23297,2020-04-03,2020-04-05,2020-08-21,2020-08-04,2020-08-14,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,138,nf1 KO;pten KO;ink KO;atrx KO
23298,2020-04-03,2020-04-05,2020-07-08,NA,2020-07-06,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,94,nf1 KO;pten KO;ink KO;atrx KO
23299,2020-04-03,2020-04-05,2020-08-07,NA,2020-07-27,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,124,nf1 KO;pten KO;ink KO;atrx KO
23300,2020-04-03,2020-04-05,2020-06-12,NA,2020-06-12,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,68,nf1 KO;pten KO;ink KO;atrx KO
23301,2020-04-03,2020-04-05,2020-07-17,NA,2020-07-08,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,103,nf1 KO;pten KO;ink KO;atrx KO
23397,2020-04-10,2020-04-11,2020-06-26,2020-06-08,2020-06-26,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,76,nf1 KO;pten KO;ink KO;atrx wt
23400,2020-04-10,2020-04-11,2020-06-01,NA,2020-05-20,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,51,nf1 KO;pten KO;ink KO;atrx wt
23460,2020-04-18,2020-04-20,2020-09-09,NA,2020-09-08,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,142,nf1 KO;pten KO;ink KO;atrx wt
23461,2020-04-18,2020-04-20,2020-06-19,NA,2020-06-16,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,60,nf1 KO;pten KO;ink KO;atrx wt
23463,2020-04-18,2020-04-20,2020-06-29,2020-06-04,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,70,nf1 KO;pten KO;ink KO;atrx wt
23464,2020-04-18,2020-04-20,2020-07-08,2020-06-04,2020-07-08,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,79,nf1 KO;pten KO;ink KO;atrx wt
23465,2020-04-18,2020-04-20,2020-06-29,2020-06-04,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,70,nf1 KO;pten KO;ink KO;atrx wt
23466,2020-04-18,2020-04-20,2020-07-21,2020-06-04,2020-07-21,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,92,nf1 KO;pten KO;ink KO;atrx wt
23467,2020-04-19,2020-04-20,2020-08-05,2020-07-08,2020-08-05,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,107,nf1 KO;pten KO;ink KO;atrx KO
23468,2020-04-19,2020-04-20,2020-08-26,NA,2020-08-26,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,128,nf1 KO;pten KO;ink KO;atrx KO
23469,2020-04-19,2020-04-20,2020-07-16,NA,2020-07-15,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,87,nf1 KO;pten KO;ink KO;atrx KO
23470,2020-04-19,2020-04-20,2020-06-29,2020-06-12,2020-06-26,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,70,nf1 KO;pten KO;ink KO;atrx KO
23522,2020-04-22,2020-04-23,2020-06-29,NA,2020-06-29,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,67,nf1 KO;pten KO;ink KO;atrx KO
23523,2020-04-22,2020-04-23,2020-06-19,NA,2020-06-19,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,57,nf1 KO;pten KO;ink KO;atrx KO
23524,2020-04-22,2020-04-23,2020-07-16,NA,2020-07-08,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,84,nf1 KO;pten KO;ink KO;atrx KO
23525,2020-04-22,2020-04-23,2020-09-17,NA,2020-08-20,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,147,nf1 KO;pten KO;ink KO;atrx KO
23526,2020-04-22,2020-04-23,2020-07-06,2020-06-04,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,74,nf1 KO;pten KO;ink KO;atrx KO
23527,2020-04-22,2020-04-23,2020-07-27,2020-06-04,2020-07-21,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,95,nf1 KO;pten KO;ink KO;atrx KO
23528,2020-04-22,2020-04-23,2020-08-11,2020-08-04,2020-06-25,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,110,nf1 KO;pten KO;ink KO;atrx KO
23783,2020-05-23,2020-05-24,2020-08-09,NA,2020-08-07,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,77,nf1 KO;pten KO;ink KO;atrx wt
23784,2020-05-23,2020-05-24,2020-08-17,NA,2020-08-14,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,85,nf1 KO;pten KO;ink KO;atrx wt
23785,2020-05-23,2020-05-24,2020-08-13,NA,2020-08-07,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,81,nf1 KO;pten KO;ink KO;atrx wt
23786,2020-05-23,2020-05-24,2020-07-27,2020-07-20,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,64,nf1 KO;pten KO;ink KO;atrx wt
23787,2020-05-23,2020-05-24,2020-08-04,NA,2020-07-30,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,72,nf1 KO;pten KO;ink KO;atrx wt
23788,2020-05-23,2020-05-24,2020-06-21,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,28,nf1 KO;pten KO;ink KO;atrx wt
23789,2020-05-23,2020-05-24,2020-07-27,NA,2020-07-27,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,64,nf1 KO;pten KO;ink KO;atrx wt
23790,2020-05-23,2020-05-24,2020-08-13,2020-07-27,2020-08-13,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,81,nf1 KO;pten KO;ink KO;atrx wt
23791,2020-05-23,2020-05-24,2020-07-31,NA,2020-07-27,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,68,nf1 KO;pten KO;ink KO;atrx wt
23792,2020-05-23,2020-05-24,2020-08-13,NA,2020-08-05,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,81,nf1 KO;pten KO;ink KO;atrx wt
23822,2020-05-28,2020-05-29,2020-08-11,NA,2020-07-27,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,74,nf1 KO;pten KO;ink KO;atrx wt
23823,2020-05-28,2020-05-29,2020-07-21,2020-07-21,2020-07-21,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,53,nf1 KO;pten KO;ink KO;atrx wt
23824,2020-05-28,2020-05-29,2020-07-16,NA,2020-07-08,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,48,nf1 KO;pten KO;ink KO;atrx wt
23826,2020-05-28,2020-05-29,2020-07-31,NA,2020-07-23,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,63,nf1 KO;pten KO;ink KO;atrx wt
23828,2020-05-28,2020-05-29,2020-08-21,NA,2020-07-23,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,84,nf1 KO;pten KO;ink KO;atrx wt
23866,2020-05-30,2020-06-01,2020-08-07,2020-07-27,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,67,nf1 KO;pten KO;ink KO;atrx wt
23867,2020-05-30,2020-06-01,2020-08-05,NA,2020-07-28,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,65,nf1 KO;pten KO;ink KO;atrx wt
23964,2020-06-15,2020-06-18,2020-09-02,NA,2020-09-01,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,76,nf1 KO;pten KO;ink KO;atrx wt
23965,2020-06-15,2020-06-18,2020-09-15,NA,2020-09-14,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,89,nf1 KO;pten KO;ink KO;atrx wt
23966,2020-06-15,2020-06-18,2020-10-02,NA,2020-09-15,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,106,nf1 KO;pten KO;ink KO;atrx wt
23967,2020-06-15,2020-06-18,2020-09-15,2020-08-07,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,89,nf1 KO;pten KO;ink KO;atrx wt
23968,2020-06-15,2020-06-18,2020-09-08,NA,2020-09-02,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,82,nf1 KO;pten KO;ink KO;atrx wt
23969,2020-06-15,2020-06-18,2020-09-02,NA,2020-09-01,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,76,nf1 KO;pten KO;ink KO;atrx wt
23970,2020-06-15,2020-06-18,2020-08-24,2020-07-28,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,67,nf1 KO;pten KO;ink KO;atrx wt
23971,2020-06-15,2020-06-18,2020-09-02,NA,2020-09-01,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,76,nf1 KO;pten KO;ink KO;atrx wt
24801,2020-09-22,2020-09-22,2021-03-05,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
24802,2020-09-22,2020-09-22,2021-03-05,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
24803,2020-09-22,2020-09-22,2021-03-05,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
24805,2020-09-22,2020-09-22,2021-03-05,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
24807,2020-09-22,2020-09-22,2021-03-05,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
24986,2020-10-11,2020-10-12,2020-12-18,NA,2020-12-18,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,67,nf1 KO;pten KO;ink KO;atrx wt
24987,2020-10-11,2020-10-12,2020-12-18,NA,2020-12-18,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,67,nf1 KO;pten KO;ink KO;atrx wt
24988,2020-10-11,2020-10-12,2021-02-16,NA,2021-02-16,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,127,nf1 KO;pten KO;ink KO;atrx wt
24989,2020-10-11,2020-10-12,2020-12-24,2020-12-09,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,73,nf1 KO;pten KO;ink KO;atrx wt
25025,2020-10-13,2020-10-14,2021-01-27,2021-01-21,2021-01-27,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,105,nf1 KO;pten KO;ink KO;atrx KO
25026,2020-10-13,2020-10-14,2021-01-04,2020-12-09,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,82,nf1 KO;pten KO;ink KO;atrx KO
25027,2020-10-13,2020-10-14,2020-12-30,2020-12-15,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,77,nf1 KO;pten KO;ink KO;atrx KO
25028,2020-10-13,2020-10-14,2021-02-01,NA,2021-01-29,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,110,nf1 KO;pten KO;ink KO;atrx KO
25029,2020-10-13,2020-10-14,2020-12-28,2020-12-09,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,75,nf1 KO;pten KO;ink KO;atrx KO
25031,2020-10-13,2020-10-14,2020-12-30,2020-12-09,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,77,nf1 KO;pten KO;ink KO;atrx KO
25033,2020-10-13,2020-10-14,2021-01-06,NA,2021-01-04,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,84,nf1 KO;pten KO;ink KO;atrx KO
25034,2020-10-13,2020-10-14,2021-01-04,NA,2021-01-04,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre-pENTR-U6-sgRNA-NF1-ex2,RH,82,nf1 KO;pten KO;ink KO;atrx KO
25080,2020-10-19,2020-10-19,2021-03-18,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
25081,2020-10-19,2020-10-19,2021-03-18,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
25082,2020-10-19,2020-10-19,2021-03-18,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
25083,2020-10-19,2020-10-19,2021-03-18,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
25084,2020-10-19,2020-10-19,2021-03-18,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
25085,2020-10-19,2020-10-19,2021-03-18,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
25086,2020-10-19,2020-10-19,2021-03-18,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX +/+,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx wt
25087,2020-10-20,2020-10-20,2021-03-19,NA,NA,N-TVA::H11LSL-Cas9 f/f;Pten f/f;Ink4a/Arf f/f;ATRX f/f,RCAS-Cre,RE,300,nf1 wt;pten KO;ink KO;atrx KO
